district,Latitude,Longitude,Province,year,Months,temp.max,temp.min,rainfall,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,1,NA,NA,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,2,NA,NA,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,3,NA,NA,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,4,23,15.2,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,5,22.9,13.3,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,6,19,10.8,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,7,16.2,11.3,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,8,18.3,10.9,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,9,19.5,11.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,10,20.1,13.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,11,21.9,14.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1991,12,24,16.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,1,25,17.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,2,25.3,17.3,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,3,23.8,16,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,4,21,14.3,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,5,NA,NA,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,6,21.2,11,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,7,20.5,11.1,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,8,18.9,11.2,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,9,18.5,11.9,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,10,19,13,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,11,21.2,14.7,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1992,12,23.8,16.8,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,1,25,18,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,2,26.2,17.3,NA,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,3,24.1,16.6,36.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,4,20.3,12.5,92.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,5,17.9,10.7,35.8,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,6,17,8.1,86.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,7,16.9,6.7,41,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,8,19.7,10.1,48.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,9,19.4,12.2,162,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,10,19.7,12.8,9.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,11,23.5,14.9,24.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1993,12,23.5,15.9,57.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,1,24.1,16.2,37.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,2,23.3,15.6,33.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,3,22.8,15.3,23.8,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,4,23.2,14.8,92,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,5,20.9,12.3,25,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,6,18.9,10,30.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,7,18.6,8.2,46.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,8,17.9,9.7,68.8,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,9,19.6,12.1,36.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,10,20.1,12.5,45.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,11,21.8,15,17.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1994,12,21.3,14.6,106.8,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,1,23.2,16.3,32.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,2,24.4,17.8,30.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,3,21.9,14.9,30,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,4,18.8,12.3,82.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,5,19.7,12.9,49.6,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,6,18.4,10.3,16,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,7,17.3,8.8,20,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,8,18.4,10.8,42.8,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,9,18.5,12.3,31,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,10,18.7,12.4,49,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,11,21,14.4,130.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1995,12,21,14.4,64.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,1,23.2,16.4,31.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,2,24.8,17.8,21.2,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,3,22.9,16.1,61,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,4,24.5,16.6,26.4,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,5,22.8,14.2,18,
TSITSIKAMMA,-34.02,23.9,EASTERN CAPE,1996,6,20.7,10.9,6.6,
